,pc_code,pc_description,unit,country_name,quantity,Per unit,categoryName,categoryID,Value,year
588,O4,"Aircraft, Spacecraft And Parts",Na,Germany,2471929.0,163.117122,Machinery and Parts,10,403213944.3,2017
589,L5,"Aluminium, Products Of Aluminm",Ton,Germany,9903.0,48.191666999999995,Metals,2,477242.0783,2012
590,N7,"Atm, Injctng Mlding Mchnry Etc",Na,Germany,9903.0,58.014523,Machinery and Parts,10,574517.8213,2013
591,M3,Auto Components/Parts,Na,Germany,9903.0,189.818249,Machinery and Parts,10,1879770.12,2020
592,I8,Auto Tyres And Tubes,Nos,Germany,747367.0,88.35845,Rubber Products,5,66036189.7,2018
593,H4,Ayush And Herbal Products,Kgs,Germany,5638239.0,28.116964000000003,Cosmetics,6,158530163,2019
594,N2,Bicycle And Parts,Na,Germany,5638239.0,13.843557999999998,Machinery and Parts,10,78053288.61,2015
595,H5,"Bulk Drugs, Drug Intermediates",Kgs,Germany,8161359.0,145.302742,Chemicals,7,1185867841,2018
596,S2,Carpet(Excl. Silk) Handmade,Sqm,Germany,6447179.0,165.558147,Handicrafts,12,1067383009,2019
597,O9,"Computer Hardware, Peripherals",Na,Germany,19329.0,2.810237,Machinery and Parts,10,54319.07097,2017
598,P1,Consumer Electronics,Na,Germany,4198.0,13.098875,Electronic Components,11,54989.07725,2020
599,L6,Copper And Prdcts Made Of Copr,Ton,Germany,2955.0,23.338201,Metals,2,68964.38396,2013
600,I5,Cosmetics And Toiletries,Na,Germany,4068.0,11.671378,Cosmetics,6,47479.1657,2016
601,P8,"Cotton Fabrics, Madeups Etc.",Na,Germany,16762.0,179.297969,Fabric Materials,14,3005392.556,2020
602,S4,Cotton Raw Incld. Waste,Ton,Germany,10708.0,11.122611000000001,Fabric Materials,14,119100.9186,2019
603,P7,Cotton Yarn,Ton,Germany,18239.0,64.292917,Fabric Materials,14,1172638.513,2014
604,N3,"Cranes, Lifts And Winches",Na,Germany,18239.0,6.28601,Machinery and parts,10,114650.5364,2012
605,H8,"Drug Formulations, Biologicals",Kgs,Germany,5081112.0,141.800451,Chemicals,7,720503973.2,2017
606,H6,Dye Intermediates,Kgs,Germany,1856002.0,3.977754,Dyes,7,7382719.38,2017
607,H7,Dyes,Kgs,Germany,16511095.0,92.458786,Dyes,7,1526595799,2018
608,N4,Air conditioner,Na,Germany,16511095.0,318.284538,Electronic Components,11,5255226244,2012
609,M4,Electrodes,Kgs,Germany,382927.0,1.89127,Accumulators and Batteries,9,724218.3473,2012
610,P2,Microwave ,Na,Germany,2823.0,138.223332,Electronic Components,11,390204.4662,2015
611,P3,Washing Machine,Na,Germany,5448.0,77.94445,Electronic Components,11,424641.3636,2014
612,I6,Plastic bags,Kgs,Germany,85056.0,4.49153,Plastic Materials,8,382031.5757,2019
613,H2,Fertilizers Crude,Ton,Germany,18.0,0.253409,Fertilizers,3,4.561362,2018
614,H3,Fertilizers Manufactured,Ton,Germany,18.0,3.8e-05,Fertilizers,3,0.000684,2019
615,F8,Finished Leather,Kgs,Germany,1563565.0,24.163702999999998,Leather Products,1,37781520.28,2016
616,R8,Floor Cvrng Of Jute,Sqm,Germany,187498.0,1.6989459999999998,Handicrafts,12,318548.9771,2013
617,G2,Footwear Of Leather,Na,Germany,187498.0,264.919269,Leather Products,1,49671833.1,2018
618,J1,Footwear Of Rubber/Canvas Etc.,Na,Germany,187498.0,4.060798,Rubber Products,5,761391.5034,2015
619,G9,Gold And Oth Precs Metl Jwlery,Na,Germany,814.0,45.629343,Metals,2,37142.2852,2019
620,K5,"Human Hair, Products Thereo",Kgs,Germany,2681.0,0.941692,Cosmetics,6,2524.676252,2016
621,N5,Ic Engines And Parts,Na,Germany,106.0,95.396647,Machinery and parts,10,10112.04458,2017
622,I2,Inorganic Chemicals,Kgs,Germany,14545374.0,17.263637,Chemicals,7,251106056.8,2018
623,L3,Iron And Steel,Ton,Germany,64764.0,98.230864,Metals,2,6361823.676,2020
624,R6,Jute Yarn,Ton,Germany,112.0,0.151955,Fabric Materials,14,17.01896,2016
625,R5,"Jute, Raw",Ton,Germany,3.0,0.011245,Fabric Materials,14,0.033735,2016
626,L7,Lead And Products Made Of Led,Ton,Germany,79.0,0.22044699999999998,Metals,2,17.415313,2014
627,G3,Leather Footwear Component,Kgs,Germany,1353243.0,52.417474,Leather Products,1,70933579.77,2020
628,G1,Leather Garments,Kgs,Germany,1251461.0,82.303274,Leather Products,1,102999337.6,2020
629,F9,Leather Goods,Na,Germany,670127.0,203.133604,Leather Products,1,136125312.6,2018
630,P6,Manmade Staple Fibre,Kgs,Germany,12117498.0,16.74226,Fabric Materials,14,202874302.1,2016
631,Q3,"Manmade Yarn,Fabrics,Madeups",Na,Germany,6896.0,104.40333100000001,Fabric Materials,14,719965.3706,2012
632,O5,Motor Vehicle/Cars,Nos,Germany,18334.0,191.747481,Machinery and parts,10,3515498.317,2019
633,Q2,"Natrl Silk Yarn,Fabrics,Madeup",Na,Germany,18334.0,4.432399,Fabric Materials,14,81263.60327,2012
634,L8,"Nickel, Product Made Of Nickel",Ton,Germany,559.0,2.677057,Metals,2,1496.474863,2014
635,I3,Organic Chemicals,Kgs,Germany,34631540.0,175.742097,Chemicals,7,6086219462,2017
636,M2,Oth Non Ferous Metal And Prodc,Kgs,Germany,4212406.0,20.328127,Metals,2,85630324.14,2013
637,I4,Other Miscellaenious Chemicals,Kgs,Germany,4344493.0,34.89033,Chemicals,7,151580794.5,2013
638,L2,Other Plastic Items,Na,Germany,26448.0,10.435464999999999,Plastic Products,8,275997.1783,2017
639,G8,Other Precious And Base Metals,Na,Germany,35093.0,0.117769,Metals,2,4132.867517,2016
640,I9,Othr Rubber Prodct Excpt Footw,Na,Germany,9940.0,57.12246999999999,Rubber Products,5,567797.3518,2017
641,K7,Packaging Materials,Ton,Germany,11031.0,24.09328,Plastic Products,8,265772.9717,2013
642,S6,Petroleum Products,Ton,Germany,63788.0,30.929613,Petroleum Products,13,1972938.154,2019
643,K9,"Plastc Sht, Film, Plts Etc",Kgs,Germany,19091117.0,35.14878,Plastic Products,8,671029471.4,2019
644,K8,Plastic Raw Materials,Ton,Germany,34348.0,77.83599,Plastic Products,8,2673510.585,2015
645,L4,Products Of Iron And Steel,Na,Germany,4404.0,346.0124,Metals,2,1523838.61,2015
646,O3,Pumps Of All Types,Na,Germany,3934.0,52.651853,Machinery and parts,10,207132.3897,2018
647,O6,"Railwy Trnsprt Equipmnts, Prts",Na,Germany,1982.0,5.58905,Machinery and parts,10,11077.4971,2020
648,F5,Rechargable Batteries,Kgs,Germany,0.0,3e-06,Accumulators and Batteries,9,0,2013
649,Q7,Rmg Silk,Na,Germany,2479.0,6.227147,Fabric Materials,14,15437.09741,2016
650,Q9,Rmg Wool,Na,Germany,2532.0,11.274592,Fabric Materials,14,28547.26694,2017
651,S3,Silk Carpet,Sqm,Germany,20593.0,4.873345,Fabric Materials,14,100356.7936,2017
652,R4,Silk Waste,Kgs,Germany,1040.0,0.018571999999999998,Fabric Materials,14,19.31488,2013
653,G7,Silver,Kgs,Germany,165.0,0.089574,Metals,2,14.77971,2016
654,Q5,"Wollen Yarn,Fabrics,Madeupsetc",Na,Germany,540.0,1.7536479999999999,Fabric Materials,14,946.96992,2014
655,Q4,"Wool, Raw",Kgs,Germany,8332.0,0.067678,Fabric Materials,14,563.893096,2017
656,M1,Zinc And Products Made Of Zinc,Ton,Germany,70.0,0.41474099999999997,Metals,2,29.03187,2015
657,H9,Agro Chemicals,Kgs,Hong Kong,3567987.0,29.913853000000003,Fertilizers,3,106732238.6,2015
658,L5,"Aluminium, Products Of Aluminm",Ton,Hong Kong,9532.0,19.766426,Metals,2,188413.5726,2013
659,I8,Auto Tyres And Tubes,Nos,Hong Kong,31896.0,4.9368620000000005,Rubber Products,5,157466.1504,2019
660,H4,Ayush And Herbal Products,Kgs,Hong Kong,108750.0,0.348669,Cosmetics,6,37917.75375,2015
661,H5,"Bulk Drugs, Drug Intermediates",Kgs,Hong Kong,797914.0,60.92163299999999,Chemicals,7,48610223.87,2013
662,S2,Carpet(Excl. Silk) Handmade,Sqm,Hong Kong,331495.0,2.835672,Handicrafts,12,940011.0896,2014
663,L6,Copper And Prdcts Made Of Copr,Ton,Hong Kong,559.0,3.842111,Metals,2,2147.740049,2019
664,P7,Cotton Yarn,Ton,Hong Kong,1208.0,3.44348,Fabric Materials,14,4159.72384,2013
665,H8,"Drug Formulations, Biologicals",Kgs,Hong Kong,349223.0,6.987314,Chemicals,7,2440130.757,2016
666,H6,Dye Intermediates,Kgs,Hong Kong,372500.0,0.9735440000000001,Dyes,7,362645.14,2018
667,H7,Dyes,Kgs,Hong Kong,1488251.0,3.54929,Dyes,7,5282234.392,2014
668,M4,Electrodes,Kgs,Hong Kong,76170.0,0.162882,Accumulators and Batteries,9,12406.72194,2015
669,I6,Plastic bags,Kgs,Hong Kong,1618.0,0.058709000000000004,Plastic Materials,8,94.991162,2014
670,H2,Fertilizers Crude,Ton,Hong Kong,9.0,0.0009400000000000001,Fertilizers,3,0.00846,2018
671,H3,Fertilizers Manufactured,Ton,Hong Kong,806.0,0.25974899999999995,Fertilizers,3,209.357694,2020
672,F8,Finished Leather,Kgs,Hong Kong,91387.0,1.401383,Leather Products,1,128068.1882,2016
673,R8,Floor Cvrng Of Jute,Sqm,Hong Kong,17010.0,0.100011,Handicrafts,12,1701.18711,2018
674,G6,Gold,Kgs,Hong Kong,17010.0,1e-06,Metals,2,0.01701,2017
675,K5,"Human Hair, Products Thereo",Kgs,Hong Kong,2444.0,1.094401,Cosmetics,6,2674.716044,2017
676,I2,Inorganic Chemicals,Kgs,Hong Kong,2653347.0,2.809844,Chemicals,7,7455491.148,2015
677,L3,Iron And Steel,Ton,Hong Kong,11964.0,13.774098,Metals,2,164793.3085,2012
678,R6,Jute Yarn,Ton,Hong Kong,11964.0,0.000386,Fabric Materials,14,4.618104,2019
679,L7,Lead And Products Made Of Led,Ton,Hong Kong,50.0,0.10162,Metals,2,5.081,2016
680,G3,Leather Footwear Component,Kgs,Hong Kong,16491.0,0.619166,Leather Products,1,10210.66651,2016
681,G1,Leather Garments,Kgs,Hong Kong,16660.0,0.8651770000000001,Leather Products,1,14413.84882,2015
682,P6,Manmade Staple Fibre,Kgs,Hong Kong,15108673.0,24.77426,Fabric Materials,14,374306193.2,2015
683,O5,Motor Vehicle/Cars,Nos,Hong Kong,10017.0,76.255251,Machinery and parts,10,763848.8493,2020
684,L8,"Nickel, Product Made Of Nickel",Ton,Hong Kong,6.0,0.092352,Metals,2,0.554112,2012
685,I3,Organic Chemicals,Kgs,Hong Kong,8400957.0,41.934194,Chemicals,7,352287360.6,2012
686,M2,Oth Non Ferous Metal And Prodc,Kgs,Hong Kong,118119.0,1.07476,Metals,2,126949.5764,2012
687,I4,Other Miscellaenious Chemicals,Kgs,Hong Kong,2070737.0,9.263508,Chemicals,7,19182288.77,2014
688,K7,Packaging Materials,Ton,Hong Kong,3925.0,6.947619,Plastic Products,8,27269.40458,2016
689,S6,Petroleum Products,Ton,Hong Kong,2407973.0,1018.3079789999999,Petroleum Products,13,2452058119,2018
690,K9,"Plastc Sht, Film, Plts Etc",Kgs,Hong Kong,7418014.0,12.896543,Plastic Products,8,95666736.53,2013
691,K8,Plastic Raw Materials,Ton,Hong Kong,58912.0,55.385932999999994,Plastic Products,8,3262896.085,2017
692,G7,Silver,Kgs,Hong Kong,55.0,0.012879,Metals,2,0.708345,2014
693,M1,Zinc And Products Made Of Zinc,Ton,Hong Kong,1520.0,3.738258,Metals,2,5682.15216,2020
694,H9,Agro Chemicals,Kgs,Hong Kong,47692.0,0.48389799999999994,Fertilizers,3,23078.06342,2017
695,L5,"Aluminium, Products Of Aluminm",Ton,Hong Kong,98.0,0.543041,Metals,2,53.218018,2017
696,I8,Auto Tyres And Tubes,Nos,Hong Kong,12445.0,0.26409699999999997,Rubber Products,5,3286.687165,2014
697,H4,Ayush And Herbal Products,Kgs,Hong Kong,11746.0,0.13508699999999998,Cosmetics,6,1586.731902,2014
698,H5,"Bulk Drugs, Drug Intermediates",Kgs,Hong Kong,2503.0,0.036743,Chemicals,7,91.967729,2015
699,S2,Carpet(Excl. Silk) Handmade,Sqm,Hong Kong,9656.0,0.28608,Handicrafts,12,2762.38848,2016
700,L6,Copper And Prdcts Made Of Copr,Ton,Hong Kong,77.0,0.6930569999999999,Metals,2,53.365389,2012
701,S4,Cotton Raw Incld. Waste,Ton,Hong Kong,1.0,0.002014,Fabric Materials,14,0.002014,2020
702,P7,Cotton Yarn,Ton,Hong Kong,1.0,0.000123,Fabric Materials,14,0.000123,2014
703,H8,"Drug Formulations, Biologicals",Kgs,Hong Kong,435633.0,10.125905,Chemicals,7,4411178.373,2012
704,H7,Dyes,Kgs,Hong Kong,2009.0,0.054655999999999996,Dyes,7,109.803904,2015
705,M4,Electrodes,Kgs,Hong Kong,11390.0,0.022482,Accumulators and Batteries,9,256.06998,2015
706,I6,Plastic bags,Kgs,Hong Kong,1304.0,0.036331999999999996,Plastic Materials,8,47.376928,2019
707,H2,Fertilizers Crude,Ton,Hong Kong,6969.0,0.40262,Fertilizers,3,2805.85878,2020
708,H3,Fertilizers Manufactured,Ton,Hong Kong,5.0,0.008901000000000001,Fertilizers,3,0.044505,2014
709,R8,Floor Cvrng Of Jute,Sqm,Hong Kong,474.0,0.011982,Handicrafts,12,5.679468,2013
710,I2,Inorganic Chemicals,Kgs,Hong Kong,29094.0,0.057747,Chemicals,7,1680.091218,2014
711,L3,Iron And Steel,Ton,Hong Kong,16914.0,10.775546,Metals,2,182257.585,2016
712,L7,Lead And Products Made Of Led,Ton,Hong Kong,22.0,0.05216799999999999,Metals,2,1.147696,2018
713,G3,Leather Footwear Component,Kgs,Hong Kong,521.0,0.01017,Leather Products,1,5.29857,2016
714,P6,Manmade Staple Fibre,Kgs,Hong Kong,26434.0,0.041748,Fabric Materials,14,1103.566632,2017
715,O5,Motor Vehicle/Cars,Nos,Hong Kong,106.0,2.656674,Machinery and parts,10,281.607444,2012
716,L8,"Nickel, Product Made Of Nickel",Ton,Hong Kong,106.0,8e-05,Metals,2,0.00848,2017
717,I3,Organic Chemicals,Kgs,Hong Kong,29473.0,0.062202,Chemicals,7,1833.279546,2018
718,M2,Oth Non Ferous Metal And Prodc,Kgs,Hong Kong,51612.0,0.513717,Metals,2,26513.9618,2020
719,I4,Other Miscellaenious Chemicals,Kgs,Hong Kong,11146.0,0.024806,Chemicals,7,276.487676,2019
720,K7,Packaging Materials,Ton,Hong Kong,825.0,2.182615,Plastic Products,8,1800.657375,2019
721,S6,Petroleum Products,Ton,Hong Kong,2592.0,1.2165219999999999,Petroleum Products,13,3153.225024,2019
722,K9,"Plastc Sht, Film, Plts Etc",Kgs,Hong Kong,109382.0,0.603607,Plastic Products,8,66023.74087,2019
723,K8,Plastic Raw Materials,Ton,Hong Kong,2959.0,3.3235980000000005,Plastic Products,8,9834.526482,2018
724,S3,Silk Carpet,Sqm,Hong Kong,25.0,0.00349,Fabric Materials,14,0.08725,2014
725,M1,Zinc And Products Made Of Zinc,Ton,Hong Kong,25.0,0.004729,Metals,2,0.118225,2013
726,H9,Agro Chemicals,Kgs,Hong Kong,3234700.0,14.513189,Fertilizers,3,46945812.46,2019
727,L5,"Aluminium, Products Of Aluminm",Ton,Hong Kong,37144.0,71.265827,Metals,2,2647097.878,2017
728,I8,Auto Tyres And Tubes,Nos,Hong Kong,142555.0,22.397713,Rubber Products,5,3192905.977,2018
729,H4,Ayush And Herbal Products,Kgs,Hong Kong,717599.0,3.6241199999999996,Cosmetics,6,2600664.888,2016
730,H5,"Bulk Drugs, Drug Intermediates",Kgs,Hong Kong,3241729.0,68.04742900000001,Chemicals,7,220591324,2019
731,S2,Carpet(Excl. Silk) Handmade,Sqm,Hong Kong,1603171.0,14.516588,Handicrafts,12,23272572.9,2012
732,L6,Copper And Prdcts Made Of Copr,Ton,Hong Kong,969.0,6.72515,Metals,2,6516.67035,2012
733,S4,Cotton Raw Incld. Waste,Ton,Hong Kong,164.0,0.1862,Fabric Materials,14,30.5368,2013
734,P7,Cotton Yarn,Ton,Hong Kong,7772.0,23.950360999999997,Fabric Materials,14,186142.2057,2012
735,H8,"Drug Formulations, Biologicals",Kgs,Hong Kong,895003.0,34.123591,Chemicals,7,30540716.32,2015
736,H6,Dye Intermediates,Kgs,Hong Kong,460679.0,2.185343,Dyes,7,1006741.628,2013
737,H7,Dyes,Kgs,Hong Kong,8662105.0,40.112409,Dyes,7,347457898.6,2014
738,M4,Electrodes,Kgs,Hong Kong,60223.0,0.137567,Accumulators and Batteries,9,8284.697441,2014
739,I6,Plastic tubes,Kgs,Hong Kong,41953.0,3.092057,Plastic Materials,8,129721.0673,2016
740,H2,Fertilizers Crude,Ton,Hong Kong,25.0,0.026261000000000003,Fertilizers,3,0.656525,2015
741,H3,Fertilizers Manufactured,Ton,Hong Kong,96.0,0.127852,Fertilizers,3,12.273792,2012
742,F8,Finished Leather,Kgs,Hong Kong,1303502.0,24.880108,Leather Products,1,32431270.54,2012
743,R8,Floor Cvrng Of Jute,Sqm,Hong Kong,89085.0,0.760988,Handicrafts,12,67792.61598,2017
744,K5,"Human Hair, Products Thereo",Kgs,Hong Kong,11382.0,1.997065,Cosmetics,6,22730.59383,2020
745,N1,"Aircraft, Spacecraft And Parts",Na,Iran,1849.0,71.198198,Machinery and Parts,10,131645.4681,2014
746,M5,Accumulators And Batteries,Na,Iran,4987.0,0.26676,Accumulators and Batteries,10,1330.33212,2015
747,H9,Agro Chemicals,Kgs,Iran,5842595.0,33.194571999999994,Fertilizers,3,193942440.4,2012
748,O4,"Aircraft, Spacecraft And Parts",Na,Iran,5842595.0,0.119657,Machinery and Parts,10,699107.3899,2017
749,L5,"Aluminium, Products Of Aluminm",Ton,Iran,1592.0,6.135966000000001,Metals,2,9768.457872,2020
750,N7,"Atm, Injctng Mlding Mchnry Etc",Na,Iran,1592.0,3.494618,Machinery and Parts,10,5563.431856,2020
751,M3,Auto Components/Parts,Na,Iran,1592.0,12.278366,Machinery and Parts,10,19547.15867,2012
752,I8,Auto Tyres And Tubes,Nos,Iran,268941.0,12.241236,Rubber Products,5,3292170.251,2014
753,H4,Ayush And Herbal Products,Kgs,Iran,1661431.0,3.7988150000000003,Cosmetics,6,6311469.004,2015
754,N2,Bicycle And Parts,Na,Iran,1661431.0,0.636934,Machinery and Parts,10,1058221.893,2018
755,H5,"Bulk Drugs, Drug Intermediates",Kgs,Iran,9908227.0,88.781683,Chemicals,7,879669068.6,2018
756,S2,Carpet(Excl. Silk) Handmade,Sqm,Iran,45136.0,2.931507,Handicrafts,12,132316.5,2016
757,O9,"Computer Hardware, Peripherals",Na,Iran,7677.0,0.21438000000000001,Machinery and Parts,10,1645.79526,2012
758,P1,Consumer Electronics,Na,Iran,1039.0,1.345309,Electronic Components,11,1397.776051,2015
759,L6,Copper And Prdcts Made Of Copr,Ton,Iran,3422.0,24.122263,Metals,2,82546.38399,2016
760,I5,Cosmetics And Toiletries,Na,Iran,4655.0,32.626383000000004,Cosmetics,6,151875.8129,2017
761,P8,"Cotton Fabrics, Madeups Etc.",Na,Iran,18982.0,1.5126540000000002,Fabric Materials,14,28713.19823,2018
762,S4,Cotton Raw Incld. Waste,Ton,Iran,37.0,0.06750199999999999,Fabric Materials,14,2.497574,2017
763,P7,Cotton Yarn,Ton,Iran,10973.0,31.488764,Fabric Materials,14,345526.2074,2012
764,N3,"Cranes, Lifts And Winches",Na,Iran,10973.0,2.174083,Machinery and parts,10,23856.21276,2018
765,H8,"Drug Formulations, Biologicals",Kgs,Iran,4498013.0,69.505499,Chemicals,7,312636638.1,2018
766,H6,Dye Intermediates,Kgs,Iran,46104.0,0.235341,Dyes,7,10850.16146,2019
767,H7,Dyes,Kgs,Iran,3718558.0,20.860332999999997,Dyes,7,77570358.16,2018
768,N4,Air conditioner,Na,Iran,3718558.0,7.325102,Electronic Components,11,27238816.64,2012
769,M4,Electrodes,Kgs,Iran,3718558.0,1.423661,Accumulators and Batteries,9,5293966.001,2018
770,P2,Microwave ,Na,Iran,3868.0,4.549112999999999,Electronic Components,11,17595.96908,2014
771,P3,Washing Machine,Na,Iran,6764.0,13.810626000000001,Electronic Components,11,93415.07426,2014
772,I6,Plastic bags,Kgs,Iran,13941.0,0.292024,Plastic Materials,8,4071.106584,2014
773,H2,Fertilizers Crude,Ton,Iran,26.0,0.065288,Fertilizers,3,1.697488,2014
774,H3,Fertilizers Manufactured,Ton,Iran,295.0,0.269737,Fertilizers,3,79.572415,2018
775,F8,Finished Leather,Kgs,Iran,64310.0,0.550992,Leather Products,1,35434.29552,2019
776,R8,Floor Cvrng Of Jute,Sqm,Iran,370.0,0.003023,Handicrafts,12,1.11851,2018
777,G2,Footwear Of Leather,Na,Iran,370.0,0.148803,Leather Products,1,55.05711,2014
778,J1,Footwear Of Rubber/Canvas Etc.,Na,Iran,370.0,2.638985,Rubber Products,5,976.42445,2015
779,G9,Gold And Oth Precs Metl Jwlery,Na,Iran,2887.0,0.636695,Metals,2,1838.138465,2017
780,K5,"Human Hair, Products Thereo",Kgs,Iran,64.0,0.0113,Cosmetics,6,0.7232,2015
781,N5,Ic Engines And Parts,Na,Iran,454.0,22.013621,Machinery and parts,10,9994.183934,2014
782,I2,Inorganic Chemicals,Kgs,Iran,9821666.0,16.275845,Chemicals,7,159855913.5,2017
783,L3,Iron And Steel,Ton,Iran,107467.0,96.009423,Metals,2,10317844.66,2012
784,E8,Iron Ore,Ton,Iran,63358.0,6.341448000000001,Metals,2,401781.4624,2020
785,G3,Leather Footwear Component,Kgs,Iran,10000.0,0.010065000000000001,Leather Products,1,100.65,2017
786,G1,Leather Garments,Kgs,Iran,5750.0,0.45755,Leather Products,1,2630.9125,2020
787,F9,Leather Goods,Na,Iran,670127.0,0.063993,Leather Products,1,42883.43711,2019
788,P6,Manmade Staple Fibre,Kgs,Iran,34131445.0,58.139807999999995,Fabric Materials,14,1984395659,2013
789,Q3,"Manmade Yarn,Fabrics,Madeups",Na,Iran,3555.0,104.096691,Fabric Materials,14,370063.7365,2018
790,O5,Motor Vehicle/Cars,Nos,Iran,175.0,0.26659099999999997,Machinery and parts,10,46.653425,2014
791,Q2,"Natrl Silk Yarn,Fabrics,Madeup",Na,Iran,175.0,0.029889,Fabric Materials,14,5.230575,2020
792,E5,Natural Rubber,Ton,Iran,1884.0,3.224243,Rubber Products,5,6074.473812,2015
793,L8,"Nickel, Product Made Of Nickel",Ton,Iran,77.0,1.343958,Metals,2,103.484766,2020
794,I3,Organic Chemicals,Kgs,Iran,21617838.0,49.309625,Chemicals,7,1065967485,2017
795,M2,Oth Non Ferous Metal And Prodc,Kgs,Iran,459241.0,3.387524,Metals,2,1555689.909,2017
796,I4,Other Miscellaenious Chemicals,Kgs,Iran,1918830.0,4.0761769999999995,Chemicals,7,7821490.713,2013
797,L2,Other Plastic Items,Na,Iran,17923.0,0.019491,Plastic Products,8,349.337193,2018
798,G8,Other Precious And Base Metals,Na,Iran,23225.0,0.037886,Metals,2,879.90235,2012
799,I9,Othr Rubber Prodct Excpt Footw,Na,Iran,25165.0,15.970673000000001,Rubber Products,5,401901.986,2012
800,K7,Packaging Materials,Ton,Iran,525.0,1.372582,Plastic Products,8,720.60555,2014
801,S6,Petroleum Products,Ton,Iran,52875.0,27.935882,Petroleum Products,13,1477109.761,2013
802,K9,"Plastc Sht, Film, Plts Etc",Kgs,Iran,3189660.0,7.521911,Plastic Products,8,23992338.64,2015
803,K8,Plastic Raw Materials,Ton,Iran,41483.0,45.117948999999996,Plastic Products,8,1871627.878,2013
804,L4,Products Of Iron And Steel,Na,Iran,4417.0,99.690892,Metals,2,440334.67,2015
805,O3,Pumps Of All Types,Na,Iran,3656.0,6.091194000000001,Machinery and parts,10,22269.40526,2019
806,O6,"Railwy Trnsprt Equipmnts, Prts",Na,Iran,3442.0,1.127982,Machinery and parts,10,3882.514044,2018
807,F5,Rechargable Batteries,Kgs,Iran,30.0,0.015821,Accumulators and Batteries,9,0.47463,2014
808,Q7,Rmg Silk,Na,Iran,9266.0,0.142305,Fabric Materials,14,1318.59813,2013
809,Q9,Rmg Wool,Na,Iran,8845.0,0.15221099999999999,Fabric Materials,14,1346.306295,2014
810,G7,Silver,Kgs,Iran,140.0,0.025285,Metals,2,3.5399,2012
811,Q5,"Wollen Yarn,Fabrics,Madeupsetc",Na,Iran,319.0,1.569978,Fabric Materials,14,500.822982,2012
812,M1,Zinc And Products Made Of Zinc,Ton,Iran,5.0,0.012784,Metals,2,0.06392,2013
813,N1,"Aircraft, Spacecraft And Parts",Na,Iraq,4037.0,1.058241,Machinery and Parts,10,4272.118917,2019
814,M5,Accumulators And Batteries,Na,Iraq,4896.0,1.6082610000000002,Accumulators and Batteries,10,7874.045856,2014
815,H9,Agro Chemicals,Kgs,Iraq,354227.0,2.084666,Fertilizers,3,738444.9832,2016
816,L5,"Aluminium, Products Of Aluminm",Ton,Iraq,1569.0,4.2835730000000005,Metals,2,6720.926037,2018
817,N7,"Atm, Injctng Mlding Mchnry Etc",Na,Iraq,1569.0,8.078049,Machinery and Parts,10,12674.45888,2019
818,M3,Auto Components/Parts,Na,Iraq,1569.0,1.004583,Machinery and Parts,10,1576.190727,2014
819,I8,Auto Tyres And Tubes,Nos,Iraq,127559.0,6.714402000000001,Rubber Products,5,856482.4047,2017
820,H4,Ayush And Herbal Products,Kgs,Iraq,659654.0,2.3507830000000003,Cosmetics,6,1550703.409,2019
821,N2,Bicycle And Parts,Na,Iraq,659654.0,1.061657,Machinery and Parts,10,700326.2867,2014
822,H5,"Bulk Drugs, Drug Intermediates",Kgs,Iraq,455395.0,3.6400980000000005,Chemicals,7,1657682.429,2016
823,S2,Carpet(Excl. Silk) Handmade,Sqm,Iraq,15.0,8.7e-05,Handicrafts,12,0.001305,2017
824,O9,"Computer Hardware, Peripherals",Na,Iraq,7147.0,0.046536,Machinery and Parts,10,332.592792,2013
825,P1,Consumer Electronics,Na,Iraq,1178.0,0.630397,Electronic Components,11,742.607666,2016
826,L6,Copper And Prdcts Made Of Copr,Ton,Iraq,268.0,2.248349,Metals,2,602.557532,2016
827,I5,Cosmetics And Toiletries,Na,Iraq,2966.0,6.360685,Cosmetics,6,18865.79171,2014
828,P8,"Cotton Fabrics, Madeups Etc.",Na,Iraq,13334.0,1.3008709999999999,Fabric Materials,14,17345.81391,2019
829,N3,"Cranes, Lifts And Winches",Na,Iraq,21865.0,0.558663,Machinery and parts,10,12215.1665,2015
830,H8,"Drug Formulations, Biologicals",Kgs,Iraq,4172817.0,72.591112,Chemicals,7,302909426.2,2017
831,H6,Dye Intermediates,Kgs,Iraq,69121.0,0.024132,Dyes,7,1668.027972,2013
832,H7,Dyes,Kgs,Iraq,330899.0,1.417546,Dyes,7,469064.5539,2020
833,N4,Air conditioner,Na,Iraq,330899.0,20.663035999999998,Electronic Components,11,6837377.949,2016
834,M4,Electrodes,Kgs,Iraq,50.0,0.001188,Accumulators and Batteries,9,0.0594,2020
835,P2,Microwave ,Na,Iraq,8817.0,4.083983,Electronic Components,11,36008.47811,2013
836,P3,Washing Machine,Na,Iraq,18585.0,3.7971559999999998,Electronic Components,11,70570.14426,2020
837,I6,Plastic bags,Kgs,Iraq,15973.0,0.254765,Plastic Materials,8,4069.361345,2017
838,H3,Fertilizers Manufactured,Ton,Iraq,15973.0,0.000199,Fertilizers,3,3.178627,2012
839,G2,Footwear Of Leather,Na,Iraq,15973.0,0.037469,Leather Products,1,598.492337,2012
840,J1,Footwear Of Rubber/Canvas Etc.,Na,Iraq,15973.0,0.213554,Rubber Products,5,3411.098042,2015
841,G9,Gold And Oth Precs Metl Jwlery,Na,Iraq,3095.0,0.029608,Metals,2,91.63676,2014
