,pc_code,pc_description,unit,country_name,quantity,Per unit,categoryName,categoryID,Value,year
339,L8,"Nickel, Product Made Of Nickel",Ton,China,0.0,0.025513,Metals,2,0,2019
340,I3,Organic Chemicals,Kgs,China,103855348.0,159.806405,Chemicals,7,16596749804,2016
341,M2,Oth Non Ferous Metal And Prodc,Kgs,China,986337.0,4.077065,Metals,2,4021360.061,2020
342,I4,Other Miscellaenious Chemicals,Kgs,China,1609816.0,29.497706,Chemicals,7,47485879.08,2020
343,K7,Packaging Materials,Ton,China,10093.0,19.175914000000002,Plastic Products,8,193542.5,2017
344,S6,Petroleum Products,Ton,China,10533.0,4.882572,Petroleum Products,13,51428.13088,2015
345,K9,"Plastc Sht, Film, Plts Etc",Kgs,China,10467452.0,18.954936,Plastic Products,8,198409882.7,2015
346,K8,Plastic Raw Materials,Ton,China,19032.0,20.69352,Plastic Products,8,393839.0726,2017
347,S3,Silk Carpet,Sqm,China,30.0,0.00877,Fabric Materials,14,0.2631,2017
348,G7,Silver,Kgs,China,8.0,0.003404,Metals,2,0.027232,2015
349,Q4,"Wool, Raw",Kgs,China,12025.0,0.0113,Fabric Materials,14,135.8825,2015
350,M1,Zinc And Products Made Of Zinc,Ton,China,225.0,0.6274569999999999,Metals,2,141.177825,2019
351,H9,Agro Chemicals,Kgs,China ,11150829.0,61.37384399999999,Fertilizers,3,684369239.5,2019
353,L5,"Aluminium, Products Of Aluminm",Ton,China ,12639.0,25.744676000000002,Metals,2,325386.96,2015
356,I8,Auto Tyres And Tubes,Nos,China ,8317.0,1.090752,Rubber Products,5,9071.784384,2014
357,H4,Ayush And Herbal Products,Kgs,China ,2575598.0,5.90814,Cosmetics,6,15216993.57,2014
359,H5,"Bulk Drugs, Drug Intermediates",Kgs,China ,4533292.0,104.30215,Chemicals,7,472832102.2,2019
360,S2,Carpet(Excl. Silk) Handmade,Sqm,China ,664087.0,12.920898,Handicrafts,12,8580600.39,2013
361,O9,"Computer Hardware, Peripherals",Na,China ,5861.0,16.121029,Machinery and Parts,10,94485.35097,2012
362,P1,Consumer Electronics,Na,China ,4329.0,18.190901,Electronic Components,11,78748.41043,2013
363,L6,Copper And Prdcts Made Of Copr,Ton,China ,139470.0,707.983631,Metals,2,98742477.02,2013
364,I5,Cosmetics And Toiletries,Na,China ,3946.0,23.161243,Cosmetics,6,91394.26488,2012
365,P8,"Cotton Fabrics, Madeups Etc.",Na,China ,18233.0,35.096897,Fabric Materials,14,639921.723,2015
366,S4,Cotton Raw Incld. Waste,Ton,China ,179149.0,283.16591800000003,Fabric Materials,14,50728891.04,2019
367,P7,Cotton Yarn,Ton,China ,454892.0,1049.954448,Fabric Materials,14,477615878.8,2012
369,H8,"Drug Formulations, Biologicals",Kgs,China ,354867.0,23.233529,Chemicals,7,8244812.736,2015
370,H6,Dye Intermediates,Kgs,China ,20702859.0,47.623487,Dyes,7,985942336.4,2018
371,H7,Dyes,Kgs,China ,14848704.0,87.006065,Dyes,7,1291927305,2019
373,M4,Electrodes,Kgs,China ,61688.0,0.888292,Accumulators and Batteries,9,54796.9569,2016
374,P2,Microwave ,Na,China ,8906.0,103.190753,Electronic Components,11,919016.8462,2012
375,P3,Washing Machine,Na,China ,5414.0,232.68295299999997,Electronic Components,11,1259745.508,2018
376,I6,Plastic bags,Kgs,China ,135380.0,1.7085270000000001,Plastic Materials,8,231300.3853,2019
377,H2,Fertilizers Crude,Ton,China ,72.0,0.362269,Fertilizers,3,26.083368,2017
378,H3,Fertilizers Manufactured,Ton,China ,0.0,0.006842,Fertilizers,3,0,2016
379,F8,Finished Leather,Kgs,China ,6797700.0,109.346107,Leather Products,1,743302031.6,2016
380,R8,Floor Cvrng Of Jute,Sqm,China ,152459.0,1.1708049999999999,Handicrafts,12,178499.7595,2019
383,G9,Gold And Oth Precs Metl Jwlery,Na,China ,566.0,1.365364,Metals,2,772.796024,2020
384,K5,"Human Hair, Products Thereo",Kgs,China ,2836576.0,175.190559,Cosmetics,6,496941335.1,2015
385,N5,Ic Engines And Parts,Na,China ,250.0,155.81895,Machinery and parts,10,38954.7375,2016
386,I2,Inorganic Chemicals,Kgs,China ,37604936.0,40.209317,Chemicals,7,1512068792,2015
387,L3,Iron And Steel,Ton,China ,584448.0,367.2339,Metals,2,214629118.4,2013
388,E8,Iron Ore,Ton,China ,29185877.0,1440.7004650000001,Metals,2,42048106565,2013
389,L7,Lead And Products Made Of Led,Ton,China ,0.0,0.003814,Metals,2,0,2015
390,G3,Leather Footwear Component,Kgs,China ,13386.0,0.204594,Leather Products,1,2738.695284,2018
391,G1,Leather Garments,Kgs,China ,249276.0,15.567777,Leather Products,1,3880673.179,2020
392,F9,Leather Goods,Na,China ,670127.0,12.963142,Leather Products,1,8686951.459,2012
393,P6,Manmade Staple Fibre,Kgs,China ,30987555.0,56.353087,Fabric Materials,14,1746244383,2019
394,Q3,"Manmade Yarn,Fabrics,Madeups",Na,China ,5291.0,36.581582,Fabric Materials,14,193553.1504,2016
395,O5,Motor Vehicle/Cars,Nos,China ,22.0,1.34571,Machinery and parts,10,29.60562,2015
