pc_code,pc_description,unit,country_name,quantity,Per unit,categoryName,categoryID,Value,year
S4,Cotton Raw Incld. Waste,Ton,U Arab Emts,1291,3.199442,Fabric Materials,14,4130.479622,2016
P7,Cotton Yarn,Ton,U Arab Emts,100,0.009366,Fabric Materials,14,0.9366,2016
N3,"Cranes, Lifts And Winches",Na,U Arab Emts,2302,93.092703,Machinery and parts,10,214299.4023,2015
H8,"Drug Formulations, Biologicals",Kgs,U Arab Emts,52945,0.048049,Chemicals,7,2543.954305,2020
H6,Dye Intermediates,Kgs,U Arab Emts,7682,0.087546,Dyes,7,672.528372,2012
H7,Dyes,Kgs,U Arab Emts,14569,3.467629,Dyes,7,50519.8869,2013
N4,Refrigerator,Na,U Arab Emts,1131369,7.454451,Electronic Components,11,8433734.773,2012
M4,Electrodes,Kgs,U Arab Emts,366152,166.242753,Accumulators and Batteries,9,60870116.5,2017
P2,Microwave ,Na,U Arab Emts,986,1.903445,Electronic Components,11,1876.79677,2014
P3,Washing Machine,Na,U Arab Emts,1,0.000083,Electronic Components,11,0.000083,2014
I6,Plastic bags,Kgs,U Arab Emts,35502,0.155171,Plastic Materials,8,5508.880842,2018
H2,Fertilizers Crude,Ton,U Arab Emts,101918,1.128749,Fertilizers,3,115039.8406,2017
H9,Agro Chemicals,Kgs,U Arab Emts,95,0.003416,Fertilizers,3,0.32452,2020
L5,"Aluminium, Products Of Aluminm",Ton,U Arab Emts,232477,0.285634,Metals,2,66403.33542,2012
I8,Auto Tyres And Tubes,Nos,U Arab Emts,104,0.514046,Rubber Products,5,53.460784,2020
H4,Ayush And Herbal Products,Kgs,U Arab Emts,374000,0.174886,Cosmetics,6,65407.364,2018
H5,"Bulk Drugs, Drug Intermediates",Kgs,U Arab Emts,75,0.000123,Chemicals,7,0.009225,2018
S2,Carpet(Excl. Silk) Handmade,Sqm,U Arab Emts,76700,0.042248,Handicrafts,12,3240.4216,2018
L6,Copper And Prdcts Made Of Copr,Ton,U Arab Emts,10,0.05229,Metals,2,0.5229,2014
S4,Cotton Raw Incld. Waste,Ton,U Arab Emts,9563684,91.047085,Fabric Materials,14,870745550.1,2020
P7,Cotton Yarn,Ton,U Arab Emts,800508,3.991934,Fabric Materials,14,3195575.102,2016
H8,"Drug Formulations, Biologicals",Kgs,U Arab Emts,140,0.075516,Chemicals,7,10.57224,2020
H6,Dye Intermediates,Kgs,U Arab Emts,65,0.126353,Dyes,7,8.212945,2013
H7,Dyes,Kgs,U Arab Emts,62,0.556193,Dyes,7,34.483966,2020
M4,Electrodes,Kgs,U Arab Emts,112100,0.113664,Accumulators and Batteries,9,12741.7344,2018
I6,Plastic tubes,Kgs,U Arab Emts,925125,14.953661,Plastic Materials,8,13834005.63,2020
H2,Fertilizers Crude,Ton,China,166073119,123.404813,Fertilizers,3,20494222195,2014
H3,Fertilizers Manufactured,Ton,U Arab Emts,400,0.006326,Fertilizers,3,2.5304,2014
F8,Finished Leather,Kgs,U Arab Emts,3990,0.030162,Leather Products,1,120.34638,2018
R8,Floor Cvrng Of Jute,Sqm,U Arab Emts,1288,0.015343,Handicrafts,12,19.761784,2020
K5,"Human Hair, Products Thereo",Kgs,U Arab Emts,760,0.909161,Cosmetics,6,690.96236,2015
I2,Inorganic Chemicals,Kgs,U Arab Emts,108,0.233228,Chemicals,7,25.188624,2012
L3,Iron And Steel,Ton,China,1015933,39.131871,Metals,2,39755359.1,2012
R6,Jute Yarn,Ton,China,548538,0.486289,Fabric Materials,14,266747.9955,2012
L7,Lead And Products Made Of Led,Ton,China,943,6.66397,Metals,2,6284.12371,2019
G3,Leather Footwear Component,Kgs,China,22,0.005814,Leather Products,1,0.127908,2013
G1,Leather Garments,Kgs,China,363846,26.822284,Leather Products,1,9759180.744,2014
P6,Manmade Staple Fibre,Kgs,U Arab Emts,3770,0.290117,Fabric Materials,14,1093.74109,2015
O5,Motor Vehicle/Cars,Nos,U Arab Emts,4700,0.016293,Machinery and parts,10,76.5771,2020
E5,Natural Rubber,Ton,U Arab Emts,18,0.136803,Rubber Products,5,2.462454,2020
L8,"Nickel, Product Made Of Nickel",Ton,China,309164,5.24904,Metals,2,1622814.203,2013
I3,Organic Chemicals,Kgs,China,560,0.007059,Chemicals,7,3.95304,2020
M2,Oth Non Ferous Metal And Prodc,Kgs,China,2887,13.175444,Metals,2,38037.50683,2013
I4,Other Miscellaenious Chemicals,Kgs,China,1,0.051189,Chemicals,7,0.051189,2016
K7,Packaging Materials,Ton,China,727363,0.530149,Plastic Products,8,385610.7671,2017
S6,Petroleum Products,Ton,China,116338,105.552152,Petroleum Products,13,12279726.26,2015
K9,"Plastc Sht, Film, Plts Etc",Kgs,China,30,0.000495,Plastic Products,8,0.01485,2020
K8,Plastic Raw Materials,Ton,China,720575,12.837168,Plastic Products,8,9250142.332,2012
S3,Silk Carpet,Sqm,U Arab Emts,29413,0.474294,Fabric Materials,14,13950.40942,2017
R4,Silk Waste,Kgs,U Arab Emts,128734,5.500627,Fabric Materials,14,708117.7162,2013
G7,Silver,Kgs,U Arab Emts,0,0.000337,Metals,2,0,2013
M1,Zinc And Products Made Of Zinc,Ton,U Arab Emts,113243,1.731075,Metals,2,196032.1262,2019
I8,Auto Tyres And Tubes,Nos,U Arab Emts,377236,15371.62768,Rubber Products,5,5798731339,2013
H5,"Bulk Drugs, Drug Intermediates",Kgs,U Arab Emts,66742,0.310596,Chemicals,7,20729.79823,2019
S4,Cotton Raw Incld. Waste,Ton,U Arab Emts,44952,0.235823,Fabric Materials,14,10600.7155,2020
H8,"Drug Formulations, Biologicals",Kgs,U Arab Emts,6,0.000041,Chemicals,7,0.000246,2012
I3,Organic Chemicals,Kgs,U Arab Emts,1046202,3.348703,Chemicals,7,3503419.776,2019
K7,Packaging Materials,Ton,U Arab Emts,7080,9.894612,Plastic Products,8,70053.85296,2012
S6,Petroleum Products,Ton,U Arab Emts,2679,5.921037,Petroleum Products,13,15862.45812,2017
H9,Agro Chemicals,Kgs,U Arab Emts,321,0.011712,Fertilizers,3,3.759552,2020
L5,"Aluminium, Products Of Aluminm",Ton,U Arab Emts,107370,0.507121,Metals,2,54449.58177,2014
I8,Auto Tyres And Tubes,Nos,U Arab Emts,2,0.002834,Rubber Products,5,0.005668,2013
H4,Ayush And Herbal Products,Kgs,U Arab Emts,18171,10.118424,Cosmetics,6,183861.8825,2016
H5,"Bulk Drugs, Drug Intermediates",Kgs,U Arab Emts,15,0.654299,Chemicals,7,9.814485,2015
S2,Carpet(Excl. Silk) Handmade,Sqm,China,12706582,90.514974,Handicrafts,12,1150135939,2019
L6,Copper And Prdcts Made Of Copr,Ton,China,130461,2.793596,Metals,2,364455.3278,2017
H8,"Drug Formulations, Biologicals",Kgs,China,4429,0.010791,Chemicals,7,47.793339,2016
H7,Dyes,Kgs,China,574767,10.139339,Dyes,7,5827757.459,2014
M4,Electrodes,Kgs,China,158,2.814722,Accumulators and Batteries,9,444.726076,2020
I6,Plastic tubes,Kgs,China,3415368,146.194417,Plastic Materials,8,499307733.6,2019
H2,Fertilizers Crude,Ton,China,373,0.762981,Fertilizers,3,284.591913,2016
E8,Iron Ore,Ton,U Arab Emts,3469,0.038941,Metals,2,135.086329,2019
R6,Jute Yarn,Ton,U Arab Emts,245300,0.001578,Fabric Materials,14,387.0834,2020
R5,"Jute, Raw",Ton,U Arab Emts,115,0.000413,Fabric Materials,14,0.047495,2020
L7,Lead And Products Made Of Led,Ton,U Arab Emts,26,21.091931,Metals,2,548.390206,2020
G3,Leather Footwear Component,Kgs,U Arab Emts,993,5.995494,Leather Products,1,5953.525542,2014
G1,Leather Garments,Kgs,U Arab Emts,27245426,44.049609,Leather Products,1,1200150362,2018
F9,Leather Goods,Na,U Arab Emts,131310,58.750769,Leather Products,1,7714563.477,2019
P6,Manmade Staple Fibre,Kgs,U Arab Emts,5,4.073971,Fabric Materials,14,20.369855,2012
Q3,"Manmade Yarn,Fabrics,Madeups",Na,U Arab Emts,129,380.353435,Fabric Materials,14,49065.59312,2020
O5,Motor Vehicle/Cars,Nos,U Arab Emts,1170883,126.184244,Machinery and parts,10,147746986.2,2019
Q2,"Natrl Silk Yarn,Fabrics,Madeup",Na,U Arab Emts,405,6.632827,Fabric Materials,14,2686.294935,2015
L8,"Nickel, Product Made Of Nickel",Ton,U Arab Emts,4301279,7.945838,Metals,2,34177266.13,2015
I3,Organic Chemicals,Kgs,U Arab Emts,6543,158.410267,Chemicals,7,1036478.377,2017
M2,Oth Non Ferous Metal And Prodc,Kgs,U Arab Emts,1934,26.751424,Metals,2,51737.25402,2018
I4,Other Miscellaenious Chemicals,Kgs,U Arab Emts,27,0.000829,Chemicals,7,0.022383,2020
L2,Other Plastic Items,Na,U Arab Emts,2,0.054106,Plastic Products,8,0.108212,2014
G8,Other Precious And Base Metals,Na,U Arab Emts,371656,307.45122,Metals,2,114266090.6,2014
I9,Othr Rubber Prodct Excpt Footw,Na,U Arab Emts,439584,0.369073,Rubber Products,5,162238.5856,2012
K7,Packaging Materials,Ton,U Arab Emts,26679,60.004875,Plastic Products,8,1600870.06,2017
S6,Petroleum Products,Ton,U Arab Emts,327024,3836.504881,Petroleum Products,13,1254629172,2016
K9,"Plastc Sht, Film, Plts Etc",Kgs,U Arab Emts,17,48.070233,Plastic Products,8,817.193961,2016
K8,Plastic Raw Materials,Ton,U Arab Emts,123292,132.2448,Plastic Products,8,16304725.88,2015
L4,Products Of Iron And Steel,Na,U Arab Emts,1505,515.777572,Metals,2,776245.2459,2017
O3,Pumps Of All Types,Na,U Arab Emts,5,37.276381,Machinery and parts,10,186.381905,2019
O6,"Railwy Trnsprt Equipmnts, Prts",Na,U Arab Emts,1383,1.641112,Machinery and parts,10,2269.657896,2013
F5,Rechargable Batteries,Kgs,U Arab Emts,24123,0.112599,Accumulators and Batteries,9,2716.225677,2016
Q7,Rmg Silk,Na,U Arab Emts,514,63.955297,Fabric Materials,14,32873.02266,2018
Q9,Rmg Wool,Na,U Arab Emts,127,26.70268,Fabric Materials,14,3391.24036,2012
S3,Silk Carpet,Sqm,U Arab Emts,244557,0.000728,Fabric Materials,14,178.037496,2019
G7,Silver,Kgs,U Arab Emts,37166,3.115487,Metals,2,115790.1898,2020
Q5,"Wollen Yarn,Fabrics,Madeupsetc",Na,U Arab Emts,25,4.717038,Fabric Materials,14,117.92595,2014
M1,Zinc And Products Made Of Zinc,Ton,U Arab Emts,27,28.840293,Metals,2,778.687911,2016
I8,Auto Tyres And Tubes,Nos,Thailand,79506,125.368398,Rubber Products,5,9967539.851,2017
H4,Ayush And Herbal Products,Kgs,Thailand,12888,6.652035,Cosmetics,6,85731.42708,2018
H5,"Bulk Drugs, Drug Intermediates",Kgs,Thailand,38,0.312164,Chemicals,7,11.862232,2012
S2,Carpet(Excl. Silk) Handmade,Sqm,Thailand,2,0.005251,Handicrafts,12,0.010502,2015
L3,Iron And Steel,Ton,Thailand,4332,3.765706,Metals,2,16313.03839,2012
L7,Lead And Products Made Of Led,Ton,Thailand,100,0.203314,Metals,2,20.3314,2019
G3,Leather Footwear Component,Kgs,Thailand,97264,2.230195,Leather Products,1,216917.6865,2015
G1,Leather Garments,Kgs,Thailand,114,0.001811,Leather Products,1,0.206454,2017
K8,Plastic Raw Materials,Ton,Thailand,6980,5.969982,Plastic Products,8,41670.47436,2018
G7,Silver,Kgs,Thailand,23,0.017288,Metals,2,0.397624,2020
M1,Zinc And Products Made Of Zinc,Ton,Thailand,20,0.042779,Metals,2,0.85558,2014
H9,Agro Chemicals,Kgs,Sri Lanka ,5,0.000081,Fertilizers,3,0.000405,2020
