pc_code,pc_description,unit,country_name,quantity,perUnit,categoryName,categoryID,Value,year
S6,Petroleum Products,Ton,U Arab Emts,2832785,1225.80795,Petroleum Products,13,3472450374,2019
S6,Petroleum Products,Ton,U S A,3577487,1869.103674,Petroleum Products,13,6686694095,2012
S6,Petroleum Products,Ton,U Arab Emts,8346665,3836.504881,Petroleum Products,13,32022021013,2020
S6,Petroleum Products,Ton,Singapore,10706733,4750.150565,Petroleum Products,13,50858593809,2017
B8,Plastic Containers,Ton,Bangladesh,142,0.244491,Plastic Products,8,34.717722,2016
B8,Plastic Containers,Ton,Australia,504,1.175601,Plastic Products,8,592.502904,2018
A5,Plastic Glass,Ton,Canada,5,0.002276,Plastic Products,8,0.01138,2019
B8,Plastic Glass,Ton,Russia,1560,3.730875,Plastic Products,8,5820.165,2012
A5,Plastic Glass,Ton,Bangladesh,37270,9.030318,Plastic Products,8,336559.9519,2020
K8,Plastic Raw Materials,Ton,U S A,11,0.00761,Plastic Products,8,0.08371,2012
K8,Plastic Raw Materials,Ton,Sri Lanka ,46,0.045177,Plastic Products,8,2.078142,2012
K8,Plastic Raw Materials,Ton,U S A,58,0.084918,Plastic Products,8,4.925244,2019
K8,Plastic Raw Materials,Ton,U S A,183,0.279171,Plastic Products,8,51.088293,2020
K8,Plastic Raw Materials,Ton,Afghanistan,277,0.284327,Plastic Products,8,78.758579,2013
K8,Plastic Raw Materials,Ton,U S A,163,0.355855,Plastic Products,8,58.004365,2016
K8,Plastic Raw Materials,Ton,U S A,93,0.464235,Plastic Products,8,43.173855,2012
K8,Plastic Raw Materials,Ton,Switzerland,221,0.747568,Plastic Products,8,165.212528,2016
K8,Plastic Raw Materials,Ton,U S A,848,0.919152,Plastic Products,8,779.440896,2015
K8,Plastic Raw Materials,Ton,Singapore,848,0.920152,Plastic Products,8,780.288896,2017
K8,Plastic Raw Materials,Ton,Thailand,1173,1.188751,Plastic Products,8,1394.404923,2018
K8,Plastic Raw Materials,Ton,Denmark,630,1.209109,Plastic Products,8,761.73867,2017
